subset    , split, label, label_name, clip_dir_abs                                                                                       , clip_dir_rel                                    , clip_folder_name, source_clip_name, group_parent, group_id           , num_frames
real_train, train,     0, real      , /kaggle/input/datasets/afenmarbun/wilddeepfake-46f/wilddeepfake_46f_merged_v5/real_train/1/103_0   , wilddeepfake_46f_merged_v5/real_train/1/103_0   , 103_0           ,              103,            1, real_train/1/103   ,         46
real_train, train,     0, real      , /kaggle/input/datasets/afenmarbun/wilddeepfake-46f/wilddeepfake_46f_merged_v5/real_train/1/318_0   , wilddeepfake_46f_merged_v5/real_train/1/318_0   , 318_0           ,              318,            1, real_train/1/318   ,         46
real_train, train,     0, real      , /kaggle/input/datasets/afenmarbun/wilddeepfake-46f/wilddeepfake_46f_merged_v5/real_train/1/506_0   , wilddeepfake_46f_merged_v5/real_train/1/506_0   , 506_0           ,              506,            1, real_train/1/506   ,         46
real_train, train,     0, real      , /kaggle/input/datasets/afenmarbun/wilddeepfake-46f/wilddeepfake_46f_merged_v5/real_train/101/79_0  , wilddeepfake_46f_merged_v5/real_train/101/79_0  , 79_0            ,               79,          101, real_train/101/79  ,         46
real_train, train,     0, real      , /kaggle/input/datasets/afenmarbun/wilddeepfake-46f/wilddeepfake_46f_merged_v5/real_train/102/131_0 , wilddeepfake_46f_merged_v5/real_train/102/131_0 , 131_0           ,              131,          102, real_train/102/131 ,         46
real_train, train,     0, real      , /kaggle/input/datasets/afenmarbun/wilddeepfake-46f/wilddeepfake_46f_merged_v5/real_train/104/12_0  , wilddeepfake_46f_merged_v5/real_train/104/12_0  , 12_0            ,               12,          104, real_train/104/12  ,         46
real_train, train,     0, real      , /kaggle/input/datasets/afenmarbun/wilddeepfake-46f/wilddeepfake_46f_merged_v5/real_train/104/38_0  , wilddeepfake_46f_merged_v5/real_train/104/38_0  , 38_0            ,               38,          104, real_train/104/38  ,         46
real_train, train,     0, real      , /kaggle/input/datasets/afenmarbun/wilddeepfake-46f/wilddeepfake_46f_merged_v5/real_train/104/40_0  , wilddeepfake_46f_merged_v5/real_train/104/40_0  , 40_0            ,               40,          104, real_train/104/40  ,         46
real_train, train,     0, real      , /kaggle/input/datasets/afenmarbun/wilddeepfake-46f/wilddeepfake_46f_merged_v5/real_train/104/40_1  , wilddeepfake_46f_merged_v5/real_train/104/40_1  , 40_1            ,               40,          104, real_train/104/40  ,         46
real_train, train,     0, real      , /kaggle/input/datasets/afenmarbun/wilddeepfake-46f/wilddeepfake_46f_merged_v5/real_train/104/40_10 , wilddeepfake_46f_merged_v5/real_train/104/40_10 , 40_10           ,               40,          104, real_train/104/40  ,         46
